year,round_no,region,category,course,rank,reservation
2023,1,DL,general,Bio-Technology,57216,0
2023,1,DL,general,Computer Science and Engineering,4695,0
2023,1,DL,general,Computer Science and Engineering with AI,3075,0
2023,1,DL,general,Computer Science and Engineering with DS,7206,0
2023,1,DL,general,Electrical Engineering,27305,0
2023,1,DL,general,Electronics and Communication Engineering,20472,0
2023,1,DL,general,Electronics and Communication Engineering with IOT,16802,0
2023,1,DL,general,Information Technology,9905,0
2023,1,DL,general,Information Technology with Network Security,12733,0
2023,1,DL,general,Instrumentation and Control Engineering,32695,0
2023,1,DL,general,Mathematics and Computing,13835,0
2023,1,DL,general,Mechanical Engineering,42080,0
2023,1,OS,general,Bio-Technology,13837,0
2023,1,OS,general,Computer Science and Engineering,1896,0
2023,1,OS,general,Computer Science and Engineering with AI,1540,0
2023,1,OS,general,Computer Science and Engineering with DS,2602,0
2023,1,OS,general,Electrical Engineering,7106,0
2023,1,OS,general,Electronics and Communication Engineering,5172,0
2023,1,OS,general,Electronics and Communication Engineering with IOT,4827,0
2023,1,OS,general,Information Technology,3022,0
2023,1,OS,general,Information Technology with Network Security,3594,0
2023,1,OS,general,Instrumentation and Control Engineering,9476,0
2023,1,OS,general,Mathematics and Computing,3684,0
2023,1,OS,general,Mechanical Engineering,11320,0
2023,2,DL,general,Bio-Technology,66986,0
2023,2,DL,general,Computer Science and Engineering,7659,0
2023,2,DL,general,Computer Science and Engineering with AI,4923,0
2023,2,DL,general,Computer Science and Engineering with DS,10974,0
2023,2,DL,general,Electrical Engineering,32333,0
2023,2,DL,general,Electronics and Communication Engineering,24265,0
2023,2,DL,general,Electronics and Communication Engineering with IOT,20364,0
2023,2,DL,general,Information Technology,13075,0
2023,2,DL,general,Information Technology with Network Security,15751,0
2023,2,DL,general,Instrumentation and Control Engineering,38421,0
2023,2,DL,general,Mathematics and Computing,18569,0
2023,2,DL,general,Mechanical Engineering,47444,0
2023,2,OS,general,Bio-Technology,17789,0
2023,2,OS,general,Computer Science and Engineering,2946,0
2023,2,OS,general,Computer Science and Engineering with AI,2941,0
2023,2,OS,general,Computer Science and Engineering with DS,3543,0
2023,2,OS,general,Electrical Engineering,9238,0
2023,2,OS,general,Electronics and Communication Engineering,7117,0
2023,2,OS,general,Electronics and Communication Engineering with IOT,6587,0
2023,2,OS,general,Information Technology,4416,0
2023,2,OS,general,Information Technology with Network Security,5009,0
2023,2,OS,general,Instrumentation and Control Engineering,11963,0
2023,2,OS,general,Mathematics and Computing,5142,0
2023,2,OS,general,Mechanical Engineering,13976,0
2023,3,DL,general,Bio-Technology,67028,0
2023,3,DL,general,Computer Science and Engineering,7659,0
2023,3,DL,general,Computer Science and Engineering with AI,4923,0
2023,3,DL,general,Computer Science and Engineering with DS,10974,0
